Entity,Last name,Occupation/role in history,National/Ethnic Origin,Race,"If Asian, in U.S.?",
Harry S Truman,Truman,Politician,American,White,N/A,
Truman,Truman,Politician,American,White,N/A,
Harry Truman’s,Truman’s,Politician,American,White,N/A,
Turner,Turner,Historian,American,White,N/A,
Mark Twain,Twain,Writer,American,White,N/A,
Uchida,Uchida,Military,Japanese,Asian,No,
Johnson Vietnamese,Vietnamese,N/A,N/A,N/A,N/A,
Vladimir,Vladimir,Politician,Russian,White,N/A,
James A. Wales,Wales,Cartoonist,American,White,N/A,
Wallace,Wallace,Politician,American,White,N/A,
Earl Warren,Warren,Politician,American,White,N/A,
Warren,Warren,Politician,American,White,N/A,
Augustus Washington,Washington,Photographer,American,Black,N/A,
Carleton Watkins,Watkins,Photographer,American,White,N/A,
Wilson,Wilson,Politician,American,White,N/A,
Woodrow Wilson,Wilson,Politician,American,White,N/A,
Yick Wo,Wo,N/A,N/A,N/A,N/A,
Tiger Woods,Woods,Athlete,American,"Black, Asian, White",Yes,
Malcom X,X,Activist,American,Black,N/A,
Deng Xiaoping,Xiaoping,Politician,Chinese,Asian,No,
Yosuke Yamahata,Yamahata,Photographer,Japanese,Asian,No,
Yamamoto,Yamamoto,Military,Japanese,Asian,No,
Isoroku Yamamoto,Yamamoto,Military,Japanese,Asian,No,
Isoroku Yamamoto's,Yamamoto's,Military,Japanese,Asian,No,
Yank,Yank,N/A,N/A,N/A,N/A,
Sun Yat-Sen,Yat-Sen,Politician,Chinese,Asian,No,
Sun Yat.Sen,Yat.Sen,Politician,Chinese,Asian,No,
Yehenara,Yehenara,"Politician, Empress",Chinese,Asian,No,
Shigeru Yoshida,Yoshida,Politician,Japanese,Asian,No,
Chun Jan Yut,Yut,Immigrant,Chinese,Asian,Yes,
Mao Zedong,Zedong,Politician,Chinese,Asian,No,
Mao Zedong's,Zedong's,Politician,Chinese,Asian,No,
